app,source,good_count,bad_count,total_count,category,confidence,reason
id.co.hypermart.hicard,good_only,5,0,5,shopping,high,Hypermart零售会员应用
com.plusphone.android,good_only,4,0,4,utility,medium,通讯工具类应用
com.hotplay.petexplosion,good_only,3,0,3,social_entertainment,high,休闲宠物游戏
com.programato.binarweb,good_only,3,0,3,productivity,medium,编程学习平台
com.skydot.docxreader.docx.docxviewer.document.doc.office.viewer.reader.word,good_only,3,0,3,utility,high,文档阅读器工具
com.hg.cupcakebaking.cakemaker.bakinggames.icecreamcake,good_only,3,0,3,social_entertainment,high,烘焙模拟游戏
com.netflix.NGP.FootballManagerMobile,good_only,3,0,3,social_entertainment,high,Netflix体育游戏
com.mirror.hsn,good_only,3,0,3,shopping,medium,电视购物平台
id.co.bri.biz.app.token,good_only,3,0,3,banking,high,BRI银行安全令牌
com.snowcorp.soda.android,good_only,3,0,3,utility,high,美颜相机应用
id.motioncredit.app,good_only,3,0,3,fintech_lending,high,金融科技信贷平台
com.sdmc.iot.android,good_only,3,0,3,utility,medium,物联网控制工具
com.billiards.city.pool.nation.club,good_only,3,0,3,social_entertainment,high,台球休闲游戏
com.puzzle.fun.free.blockpuzzle,good_only,3,0,3,social_entertainment,high,方块益智游戏
net.fileminer.android,good_only,3,0,3,utility,high,文件管理工具
com.mdiwebma.screenshot,good_only,3,0,3,utility,high,截图工具应用
com.jb.theme.gokeyboard,good_only,3,0,3,utility,high,键盘主题工具
co.id.mtf.one,good_only,3,0,3,utility,medium,未知工具类应用
com.gsm.customer,good_only,3,0,3,utility,medium,通信客户服务
com.finance.money.manageexpense,good_only,3,0,3,productivity,high,财务记账管理
id.tirtabenteng.siganteng,good_only,3,0,3,utility,medium,地方水务服务
id.co.acehardware.acerewards,good_only,3,0,3,shopping,high,家居零售会员
com.armada.ksafleetdriverapp,good_only,3,0,3,transportation,high,车队司机管理
com.weberdo.apps.serviceinfo,good_only,3,0,3,utility,medium,设备服务信息
com.games.bus.arrival,good_only,3,0,3,social_entertainment,high,巴士模拟游戏
com.finnet.finpaymoney,good_only,3,0,3,ewallet,high,电子支付钱包
com.bach.ball.charge,good_only,3,0,3,social_entertainment,high,弹球休闲游戏
com.electroniccity.ecm,good_only,3,0,3,shopping,high,电子产品零售
com.dana.kredit.navigator,good_only,2,0,2,fintech_lending,high,DANA信贷导航
net.skyscanner.android.main,good_only,2,0,2,transportation,high,航班比价出行
com.erm.dzikir.pagipetang,good_only,2,0,2,religious,high,伊斯兰祈祷应用
com.kotar.sagittario,good_only,2,0,2,social_entertainment,medium,休闲游戏应用
com.downloadmusic.mp3downloader.musicplayer,good_only,2,0,2,utility,high,音乐下载播放器
com.miniclip.basketballstars,good_only,2,0,2,social_entertainment,high,篮球体育游戏
com.upwise.be.evolution,good_only,2,0,2,social_entertainment,medium,休闲进化游戏
id.go.kemensos.siksma,good_only,2,0,2,other,high,政府社会服务
id.go.kemsos.absensi,good_only,2,0,2,productivity,high,政府考勤系统
net.xnano.android.photoexifeditor,good_only,2,0,2,utility,high,照片信息编辑
com.bank_hijra,good_only,2,0,2,banking,high,伊斯兰银行应用
com.gps.draw.flag.coloring.games,good_only,2,0,2,social_entertainment,high,填色休闲游戏
com.play.rosea,good_only,2,0,2,social_entertainment,medium,休闲游戏应用
com.reportplus.analyzer,good_only,2,0,2,productivity,high,报表分析工具
watersort.puzzle.water.sort.ball.sort.logic.brain.game.color.fill,good_only,2,0,2,social_entertainment,high,水排序益智
com.mobile.truecall.tracker.locator.teccreations,good_only,2,0,2,utility,high,来电追踪工具
com.animator,good_only,2,0,2,utility,medium,动画制作工具
com.goersapp.goers,good_only,2,0,2,transportation,medium,出行服务应用
com.tools.control.center.simplecontrol,good_only,2,0,2,utility,high,快捷控制工具
com.wa.status.app.downloader.photo.video.status,good_only,2,0,2,social_entertainment,high,社交状态下载
com.microsoft.launcher,good_only,2,0,2,utility,high,微软桌面启动器
com.gametion.snakesladders,good_only,2,0,2,social_entertainment,high,蛇梯棋游戏
com.pdfreader.lite.file,good_only,2,0,2,utility,high,PDF阅读工具
com.bekalislam.qurantadabbur,good_only,2,0,2,religious,high,古兰经诵读
com.avian.loyalty,good_only,2,0,2,shopping,medium,涂料品牌会员
com.indonesiaentertainmentgroup.tayoholiday,good_only,2,0,2,shopping,medium,旅游度假预订
com.yanuarhpai.resepherbahpai,good_only,2,0,2,religious,medium,伊斯兰食谱
text.or.words.games,good_only,2,0,2,social_entertainment,high,文字益智游戏
id.capitalnet.finance,good_only,2,0,2,fintech_lending,high,网络金融借贷
com.memeandsticker.personal,good_only,2,0,2,social_entertainment,high,表情包制作
com.pede.emoney,good_only,2,0,2,ewallet,high,电子钱包应用
id.co.homecredit.tippers,good_only,2,0,2,fintech_lending,high,Home Credit信贷
com.edishub.sitsdishubsurabaya,good_only,2,0,2,transportation,medium,地方交通服务
go.id.tapinkab.govem,good_only,2,0,2,other,high,地方政府服务
com.appovo.bmicalculator,good_only,2,0,2,utility,high,健康计算工具
photography.sweet.selfie.camera,good_only,2,0,2,utility,high,自拍相机应用
com.music.downloadfreeapp4you,good_only,2,0,2,utility,high,免费音乐下载
com.firsttouchgames.dls3,good_only,2,0,2,social_entertainment,high,足球体育游戏
com.cookie.match3.casual,good_only,2,0,2,social_entertainment,high,三消休闲游戏
com.lightricks.quickshot,good_only,2,0,2,utility,high,照片编辑工具
com.machtwatch_mobile,good_only,2,0,2,utility,medium,智能手表配套
com.chattranslation.conversation.voicetranslator.translatorappfree.audiotranslator,good_only,2,0,2,utility,high,语音翻译工具
com.infraware.office.link,good_only,2,0,2,productivity,high,办公文档套件
com.terjemahan.penerjemahinggrisindonesia,good_only,2,0,2,utility,high,英印尼翻译
id.doran.jeteconnect,good_only,2,0,2,utility,medium,设备连接工具
com.google.android.apps.labs.language.tailwind,good_only,2,0,2,productivity,medium,语言学习实验
com.contapps.android,good_only,2,0,2,utility,medium,未知工具应用
com.ysd.luckywheelluckydraw,good_only,2,0,2,social_entertainment,medium,幸运转盘游戏
com.cextor.pro,good_only,2,0,2,utility,medium,专业工具应用
com.kumon.mykumon,good_only,2,0,2,productivity,high,教育学习平台
com.cove.mobile,good_only,2,0,2,utility,medium,未知移动应用
com.maps.locator.gps.gpstracker.phone,good_only,2,0,2,utility,high,GPS定位追踪
com.reel.short.drama.crazy.popcorn,good_only,2,0,2,social_entertainment,high,短剧娱乐应用
com.app.cerb.mcrdp,good_only,2,0,2,utility,medium,未知工具应用
com.classdojo.android,good_only,2,0,2,productivity,high,教育沟通平台
com.cylan.jiafeigou,good_only,2,0,2,shopping,medium,购物电商应用
com.haidilao.intl,good_only,2,0,2,food_delivery,high,海底捞餐饮
com.powerschool.portal,good_only,2,0,2,productivity,high,学校管理系统
com.tvb.ott.overseas.sg,good_only,2,0,2,social_entertainment,high,影视流媒体
com.xs2theworld.cxmobile,good_only,2,0,2,utility,medium,未知移动应用
id.qluster.soc,good_only,2,0,2,utility,medium,安全运营中心
id.go.jogjakota.jogjasmartservice,good_only,2,0,2,other,high,智慧城市服务
com.sumutprov.ekinerja,good_only,2,0,2,productivity,high,政府绩效系统
com.boostedproductivity.app,good_only,2,0,2,productivity,high,效率提升工具
com.time_management_studio.my_daily_planner,good_only,2,0,2,productivity,high,日程计划管理
com.app.cerb.mcmeg,good_only,2,0,2,utility,medium,未知工具应用
com.hg.bfbb,good_only,2,0,2,social_entertainment,medium,休闲游戏应用
com.playdigious.littlenightmare,good_only,2,0,2,social_entertainment,high,恐怖冒险游戏
com.superchinese,good_only,2,0,2,productivity,high,中文学习应用
com.vk.vkvideo,good_only,2,0,2,social_entertainment,high,视频社交平台
my.trevo.trevoapp,good_only,2,0,2,shopping,medium,电商购物应用
org.chromium.webapk.aef1990548974682d_v2,good_only,2,0,2,utility,high,浏览器网页应用
pin.pinterest.video.downloader.pinterest.downloader,good_only,2,0,2,utility,high,视频下载工具
com.otoreport.tokotax,good_only,2,0,2,productivity,high,店铺税务报表
pdf.reader.editor.office,good_only,2,0,2,utility,high,PDF编辑工具
com.compassfree.digitalcompass.forandroid.app,good_only,2,0,2,utility,high,数字指南针
org.plus18.android,good_only,2,0,2,social_entertainment,medium,社交娱乐应用
com.app.ankmobile,good_only,2,0,2,utility,medium,未知移动应用
org.chromium.webapk.a8279ed50522b4f3b_v2,good_only,2,0,2,utility,high,浏览器网页应用
com.btpns.individualfinancing,good_only,2,0,2,fintech_lending,high,BTPN个人信贷
com.seriepulse.es,good_only,2,0,2,social_entertainment,medium,影视资讯应用
clean.master.antivirus.battery.ora,good_only,2,0,2,utility,high,清理杀毒工具
com.orangeapps.candyvalley,good_only,2,0,2,social_entertainment,high,糖果休闲游戏
xyz.parallaxnetwork.app,good_only,2,0,2,utility,medium,未知网络应用
com.intsig.camexam,good_only,2,0,2,productivity,high,扫描考试工具
com.reliance.reliid,good_only,2,0,2,utility,medium,身份验证工具
com.bukupay,good_only,2,0,2,ewallet,high,电子支付钱包
com.mocoo.hang.rtprinter,good_only,2,0,2,utility,high,打印工具应用
com.otoreport.appsaveplus,good_only,2,0,2,utility,medium,应用备份工具
com.pasukanlangit.cashplus,good_only,2,0,2,cash_loan,high,现金贷应用
com.yadavapp.digitalclocklivewallpaper,good_only,2,0,2,utility,high,动态时钟壁纸
business.card.game,good_only,2,0,2,social_entertainment,medium,商业卡牌游戏
com.booking.hotelmanager,good_only,2,0,2,shopping,high,酒店预订管理
com.enchantedcloud.photovault,good_only,2,0,2,utility,high,照片加密保险箱
com.xe.currency,good_only,2,0,2,utility,high,汇率换算工具
com.amb.draw.to.childhoods,good_only,2,0,2,social_entertainment,medium,绘画休闲游戏
com.mirrorapp.magnifier.camera.mirror.mirrorcam.editor,good_only,2,0,2,utility,high,放大镜相机
com.wesclic.zendo,good_only,2,0,2,utility,medium,未知工具应用
games.spearmint.tilematchhexa,good_only,2,0,2,social_entertainment,high,六边形消除
com.kredit.isaya,good_only,2,0,2,cash_loan,high,现金贷应用
com.snr_computer.sp_lite,good_only,2,0,2,utility,medium,未知工具应用
com.kredete.app,good_only,2,0,2,cash_loan,high,现金贷应用
com.uprock.mining,good_only,2,0,2,social_entertainment,medium,挖矿休闲游戏
com.coactplayworks.Quarantine.Check,good_only,2,0,2,utility,medium,健康检查工具
com.sbkgames.rallyracerdirt,good_only,2,0,2,social_entertainment,high,拉力赛车游戏
com.alami_funder,good_only,2,0,2,fintech_lending,high,金融科技借贷
com.saku_sultan,good_only,2,0,2,shopping,medium,零售购物应用
com.tuntun.tt,good_only,2,0,2,social_entertainment,medium,社交娱乐应用
id.moxa.agent,good_only,2,0,2,utility,medium,设备代理工具
com.ps.burger.stack.master.cooking.games,good_only,2,0,2,social_entertainment,high,汉堡烹饪游戏
com.danapayz,good_only,2,0,2,ewallet,high,电子支付钱包
com.apple.atve.androidtv.appletv,good_only,2,0,2,social_entertainment,high,影视流媒体
com.digiphoto.android,good_only,2,0,2,utility,high,照片管理工具
com.kingsgroup.ss.xiaomi,good_only,2,0,2,social_entertainment,high,策略生存游戏
com.youshort.adutech,good_only,2,0,2,social_entertainment,high,短视频应用
id.serpul.sp21259,good_only,2,0,2,utility,medium,未知服务应用
glitchvideoeditor.videoeffects.glitchvideoeffect,good_only,2,0,2,utility,high,视频特效编辑
psyberia.alpinequest.full,good_only,2,0,2,utility,high,户外导航地图
lucky.slotplus.hypertap,good_only,2,0,2,gambling,high,老虎机赌博
com.superaman.duduit,good_only,2,0,2,cash_loan,high,现金贷应用
com.id2mt777.ntmt777,good_only,2,0,2,gambling,high,棋牌赌博应用
com.rynatsa.xtrendspeed,good_only,2,0,2,fintech_lending,medium,金融交易平台
cam.sweet.selfie.effect.camera,good_only,2,0,2,utility,high,美颜相机应用
com.smartswitch.easyMover.copymydata.phoneclone.android.filetransfer,good_only,2,0,2,clone_app,high,手机数据克隆
com.zoey.bearfish,good_only,2,0,2,social_entertainment,medium,休闲游戏应用
com.rioo.runnersubway,good_only,2,0,2,social_entertainment,high,地铁跑酷游戏
com.inditex.zara,good_only,2,0,2,shopping,high,服装购物电商
com.smartsecurityxzt,good_only,2,0,2,utility,high,安全防护工具
com.cedargames.tileclear,good_only,2,0,2,social_entertainment,high,消除休闲游戏
com.fdtradev.wish,good_only,2,0,2,shopping,high,跨境电商平台
com.mobiroller.soda,good_only,2,0,2,utility,medium,未知工具应用
com.newlang.weelife,good_only,2,0,2,productivity,medium,生活管理应用
com.hpm.homi,good_only,2,0,2,utility,medium,智能家居控制
com.novelss.weread,good_only,2,0,2,social_entertainment,high,小说阅读应用
com.oprex.nopol,good_only,2,0,2,utility,medium,车牌识别工具
imperial.id.android,good_only,2,0,2,utility,medium,未知工具应用
com.nyxio.tenebroj,good_only,2,0,2,social_entertainment,medium,休闲游戏应用
com.gdn.blibli.mta,good_only,2,0,2,shopping,high,印尼电商平台
com.ringtonemakerpro.android,good_only,2,0,2,utility,high,铃声制作工具
com.bharat.browser,good_only,1,0,1,utility,high,网页浏览器
com.gansoft.photosolve,good_only,1,0,1,utility,high,图片解题工具
com.hungrystudio.block.puzzle.fun.brain.free,good_only,1,0,1,social_entertainment,high,方块益智游戏
com.lutech.pianoapp,good_only,1,0,1,social_entertainment,high,钢琴模拟游戏
com.quickmathto.resolver,good_only,1,0,1,productivity,high,数学解题工具
com.app.cerb.mcs9b,good_only,1,0,1,utility,medium,未知工具应用
com.catchmobile.forme.intermittent.fasting.tracker.timer.plan,good_only,1,0,1,productivity,high,间歇性断食追踪
com.forevernine.ikpure.android,good_only,1,0,1,utility,medium,未知工具应用
com.mylaps.speedhive,good_only,1,0,1,transportation,high,赛车计时应用
org.chromium.webapk.a6c6ca9a336abe819_v2,good_only,1,0,1,utility,high,浏览器网页应用
water.sort.soda.color.puzzle.games.trans,good_only,1,0,1,social_entertainment,high,水排序益智
me.piebridge.brevent,good_only,1,0,1,utility,high,应用休眠工具
org.chromium.webapk.ae8e4294af3256b60_v2,good_only,1,0,1,utility,high,浏览器网页应用
app.indopaket,good_only,1,0,1,shopping,medium,快递物流服务
com.cancreative.psis_masyarakat,good_only,1,0,1,social_entertainment,medium,足球俱乐部应用
com.gogoogle.android.gms,good_only,1,0,1,utility,high,谷歌服务框架
com.ipg.gguide.dcm_app.android,good_only,1,0,1,utility,medium,未知工具应用
com.neximolabs.droidtimelapsepro,good_only,1,0,1,utility,high,延时摄影工具
com.nhstudio.inote.noteios.noteiphone,good_only,1,0,1,productivity,high,笔记记录工具
com.nttdocomo.android.applicationmanagersub,good_only,1,0,1,utility,medium,应用管理工具
com.sonyericsson.textinput.uxp,good_only,1,0,1,utility,high,索尼输入法
com.sukros.timelapse,good_only,1,0,1,utility,high,延时摄影工具
com.yourcompanyname.xperia1,good_only,1,0,1,utility,medium,索尼手机工具
