app,good_count,bad_count,total_count
com.py.cloneapp.huawei,0,26,26
jp.ne.ibis.ibispaintx.app,0,18,18
com.google.android.apps.paidtasks,0,15,15
com.stream.drakorindoawet,0,13,13
com.muamalatdin,0,13,13
com.htt.alpha.shooter.fps,0,13,13
com.jkfantasy.gpsmapcamera,0,13,13
com.tocaboca.tocalifeworld,0,13,13
com.xiaomi.mi_connect_service,0,13,13
com.alphainventor.filemanager,0,11,11
com.mi.android.globalFileexplorer,0,11,11
com.love.idol.dressup.doll.makeover.avatar.makeup.games,0,11,11
eu.nordeus.topeleven.android,0,10,10
in.playsimple.wordsearch,0,10,10
com.anhlt.identranslator,0,10,10
com.higgs.domino,0,9,9
com.idGame.game,0,9,9
zeal.app.manage,0,9,9
com.constructor.games,0,9,9
web.id.isipulsa.appkita,0,9,9
com.gregacucnik.fishingpoints,0,9,9
com.Hadiz.Pillowchase,0,9,9
com.songn.est,0,8,8
com.flowcolors.sht,0,8,8
com.opera.app.news,0,8,8
com.cnn.indonesia,0,8,8
com.fc.p.cp.jelly.mukbang.asmr.live.diy,0,8,8
com.hso.motorku,0,8,8
com.anydesk.anydeskandroid,0,8,8
note.notesapp.notebook.notepad.stickynotes.colornote,0,8,8
word.office.docxviewer.document.docx.reader,0,8,8
casual.inktat.asmr.gamestud,0,8,8
com.TumbGames.PaperFold,0,8,8
com.aimix.animals.monster.master.mashup,0,8,8
com.ayla.dressup,0,8,8
com.bricks.legend,0,8,8
com.build.queen.mini.app.vhuic,0,8,8
com.car.match.jam.pdtje.free.game.launcher,0,8,8
com.diy.cake.maker.birthday,0,8,8
com.drawhome.drawgame.drawpuzzle.rushtohome,0,8,8
com.eggfarm.merge,0,8,8
com.foursgames.camouflagesniper,0,8,8
com.furylion.airportlife3d,0,8,8
com.leftor.right.pkthetop,0,8,8
com.paurau.MakeHer,0,8,8
com.playstrom.dop5,0,8,8
com.qidafcl.sl054,0,8,8
com.sdpgames.sculptpeople,0,8,8
com.sinyee.babybus.paintingIII,0,8,8
com.sinyee.babybus.snacks,0,8,8
com.surprise.toy.d3,0,8,8
com.tripsoft.phone.diy.design.makeover,0,8,8
com.tvc.thiefpuzzle,0,8,8
happy.pixel.coloring.art.color.games,0,8,8
ru.startandroid.smsactivate,0,8,8
com.bybit.app,0,7,7
com.moonactive.coinmaster,0,7,7
com.drilens.wamr,0,7,7
com.cootek.smartinputv5.skin.defaultwhite,0,7,7
com.rhinogold.enrush,0,7,7
com.vincentb.MobControl,0,7,7
com.microsoft.bing,0,7,7
com.pdfreader.pdfviewer.fastpdfreader.pdf,0,7,7
com.touchtype.swiftkey,0,7,7
facebook.video.downloader.savefrom.fb,0,7,7
com.gadik.cekpajakonline,0,7,7
video.downloader.videodownloader,0,7,7
com.JindoBlu.Antistress,0,6,6
stickerwhatsapp.com.stickers,0,6,6
com.garnesapps.strukpom,0,6,6
com.pengyou.cloneapp,0,6,6
com.termux,0,6,6
com.sand.airdroidkidp,0,6,6
xyz.aethersx2.android,0,6,6
com.sec.android.app.billing,0,6,6
com.bunbunstudio.magicblocktiles,0,6,6
com.innplaylabs.animalkingdomraid,0,6,6
com.bubadu.bubbu,0,6,6
com.danavip.app,0,6,6
me.zepeto.main,0,6,6
com.hundred.qibla.finder,0,6,6
com.clearblast.android,0,6,6
com.kci.access,0,6,6
com.finjaya.myapp,0,6,6
com.darmiu.folasia,0,6,6
com.seagames.dominoqq,0,6,6
com.aman.milov,0,6,6
com.best.uninstall.apps.uninstaller,0,6,6
com.flashkeyboard.leds,0,6,6
com.betafish.adblocksbrowser,0,6,6
com.sobrr.agnes,0,6,6
com.easygames.race,0,6,6
com.drama.happy.look,0,5,5
com.samsung.android.app.homestar,0,5,5
com.samsung.systemui.lockstar,0,5,5
idm.internet.download.manager,0,5,5
smart.cleaner.clean.master.booster.free,0,5,5
com.transsion.beez,0,5,5
cm.aptoide.pt,0,5,5
com.spin.harta.games,0,5,5
com.google.android.apps.fitness,0,5,5
com.iquotes.app.anzhuo,0,5,5
com.campmobile.snow,0,5,5
com.hsp.yn.jkt88,0,5,5
com.yougov.mobile.online,0,5,5
com.nanovest.prod,0,5,5
co.populix,0,5,5
com.avatarlife.myworld.avatarmaker.avatarstoryvirtual,0,5,5
com.higame.par.bubble.tea,0,5,5
putulive.app.bus,0,5,5
burgerking.id.android,0,5,5
com.lianhezhuli.hyfit,0,5,5
com.bagipulsa,0,5,5
com.higame.annoying.tricky.story.puzzle.game,0,5,5
academy.gocrypto.trading,0,5,5
com.whatscan.web.scanner.dual.app.whatsweb,0,5,5
com.coloros.browser,0,5,5
com.bumble.app,0,5,5
ezlink.project.nexparabola,0,5,5
com.live.live4d,0,5,5
timestamp.geotag.camera.gpsmapcamera,0,5,5
com.defianttech.diskdigger,0,5,5
com.document.pdf.filereader,0,5,5
com.gridplus.collagemaker,0,5,5
com.richeese.id,0,5,5
com.heytap.lab,0,5,5
com.ig.screwdom,0,5,5
ai.moises,0,5,5
com.desygner.pdf,0,5,5
com.shortplay.reel.rich.wealth,0,4,4
com.dreame.reader,0,4,4
com.power.browser_yoou,0,4,4
id.maucash.app,0,4,4
com.samsung.android.app.galaxyregistry,0,4,4
com.samsung.android.edgelightingplus,0,4,4
com.samsung.systemui.navillera,0,4,4
com.play.drama.shorts,0,4,4
com.mingshen.app,0,4,4
com.media720.games2020,0,4,4
com.mobso.photoreducer,0,4,4
com.lutech.theme,0,4,4
com.yg.extreme.moto,0,4,4
it.censa.scoreboardsimple,0,4,4
com.globalplay.birdsort2.color.puzzle,0,4,4
com.id3rpvip3.ntrpvip3ct2,0,4,4
com.mailtime.android,0,4,4
com.mobso.photoreducer.lite,0,4,4
com.sibangstudio.watsap,0,4,4
com.biomes.vanced,0,4,4
com.cootek.smartinputv5.language.oem.chs,0,4,4
com.cootek.smartinputv5.language.oem.englishgb,0,4,4
com.fullmetalgamedev.shapetransformrush,0,4,4
com.git.jakpat.jajakpendapat,0,4,4
com.tranzmate,0,4,4
com.vsco.cam,0,4,4
