app_package,category,confidence,reason
ru.vk.store,app_store,high,第三方应用商店
com.atapkita,app_store,high,APK第三方商店
com.taptap.global.lite,app_store,high,游戏分发应用商店
com.taptap.global,app_store,high,游戏分发应用商店
mayapada.mbank,banking,high,Mayapada银行官方
com.apadmi.AJBell,banking,medium,投资理财应用
com.ao.danaraya_cust,banking,medium,金融合作社
com.topremit.topremit,banking,medium,跨境汇款
com.unfcu.mobile,banking,medium,信用合作社
com.kospin.jasa,banking,medium,印尼Kospin合作社
com.bank_hijra,banking,high,伊斯兰银行应用
com.dupagecu.dupagecu,banking,medium,信用合作社
id.co.komunal,banking,medium,社区金融
id.co.bri.juniosmart,banking,high,BRI银行官方
com.airforcefcu.airforcefcu,banking,medium,空军信用合作社
com.aerofcu.aerofcu,banking,medium,信用合作社应用
com.rmlefcu.mobilebanking,banking,medium,信用合作社
com.mbb.titan.sg,banking,medium,新加坡银行
com.elevationscu.elevationscu,banking,medium,信用合作社
com.horiconbank.horiconbank,banking,high,霍里康银行
com.finansbank.mobile.cepsube,banking,high,土耳其银行
com.heritagefcu.heritagefcu,banking,medium,信用合作社
com.herbs.koperku,banking,medium,合作社应用
com.adelficu.adelficu,banking,medium,信用合作社应用
com.toplinecu.android,banking,medium,信用合作社
com.dwidasa.bcas.mb.android,banking,high,BCA手机银行
com.rhbsyariah.tradesmart,banking,high,RHB银行交易应用
com.achievacu.achievacu,banking,medium,信用合作社应用
pg.com.cbp.mbapp,banking,medium,银行移动端应用
cy.com.netinfo.netteller.credinsbank,banking,high,Credins银行
com.ifs.banking.fiid8027,banking,medium,银行核心系统
com.treenear.koperasibhaktiartha,banking,medium,合作社应用
com.mykopelindo.app,banking,medium,印尼合作社
com.btpn.touchbiz,banking,high,BTPN手机银行
sg.flin.app,banking,medium,新加坡金融
ua.privatbank.ap24,banking,high,乌克兰PrivatBank
com.fourvisionmedia.smartcoopAnggota.Koppep,banking,medium,合作社成员应用
org.cuwest.android,banking,medium,信用合作社
bri.delivery.brimobile,banking,high,BRI银行手机银行
id.co.bri.biz.app.token,banking,high,BRI银行安全令牌
co.id.bankbsi.qrismerchant,banking,high,印尼BSI银行商户版
com.remitchoiceltd,banking,medium,跨境汇款
com.centracu.centracu,banking,medium,信用合作社
com.sc.breezeid.banking,banking,high,银行官方应用
com.rhbgroup.rhbmobilebanking,banking,high,RHB银行官方手机银行
com.primefinancial.mobilebanking,banking,high,Prime手机银行
my.rytbank.app,banking,medium,马来西亚银行
org.r1cu.android,banking,medium,信用合作社
com.commchoicecu.commchoicecu,banking,medium,信用合作社
com.cpmfcu.cpmfcu,banking,medium,信用合作社
au.com.mebank.mobilebanking,banking,high,澳洲ME银行
tl.bmdl.livin,banking,high,印尼Mandiri Livin银行
com.app.koppbn,banking,medium,合作社应用
com.directfcu.directfcu,banking,medium,信用合作社
com.dirigofcu.dirigofcu,banking,medium,信用合作社
com.texanscu.texanscu,banking,medium,信用合作社
com.fibrecu.android,banking,medium,信用合作社
com.sanlc.um.modal.uang,cash_loan,high,modal uang属借贷
com.sanlc.pro.modal.uang,cash_loan,high,modal uang属借贷
com.duapuluhempatjam.apppinjolacc,cash_loan,high,网贷申请指南
danarupiah.plus.jcjc,cash_loan,medium,dana rupiah属借贷
com.smart.loan.finance.cash.credit,cash_loan,medium,含loan关键词，疑似现金贷
com.rupiah.mudah.pinjaman.rupiah,cash_loan,high,pinjaman关键词属现金贷
com.droidot.loans,cash_loan,medium,贷款应用
com.danapinjaman.infoappkitabisa,cash_loan,high,网贷信息指南
com.pasukanlangit.cashplus,cash_loan,high,现金贷应用
com.superaman.duduit,cash_loan,high,现金贷应用
com.ktago.cepat.tanpa.jaminan,cash_loan,high,快速无担保现金贷
com.kredit.isaya,cash_loan,high,现金贷应用
com.kredete.app,cash_loan,high,现金贷应用
com.truly.pinjamku,cash_loan,high,pinjamku属现金贷
com.pnmredit.inpjaddev,cash_loan,medium,redit疑似kredit借贷
com.hasimelehedev.pinjamanamaninfo,cash_loan,high,安全贷款信息
com.stopbayarpinjol.galbayrugi,cash_loan,high,停止还款指南
com.config.danafortuna.new,cash_loan,medium,疑似现金贷应用
com.legalitaspinjaman.tipsuntukdiacc,cash_loan,high,贷款审批指南
com.inaracapps.cek.pinjolmu,cash_loan,high,网贷查询工具
co.pintar.platform,cash_loan,medium,Kredit Pintar借贷
com.onlineapp.pembatalanpinjaman,cash_loan,high,取消贷款指南
com.hasimelehedev.pusatinfo.pinjamanonline,cash_loan,high,网贷信息中心
com.dadadev.pinjamanguide,cash_loan,medium,现金贷指南应用
com.tspingdev.pinjogampangcair,cash_loan,high,现金贷申请应用
com.pinjamankilat.riverside,cash_loan,high,闪电贷款应用
com.pinjamanonlineloan.cepatapp,cash_loan,high,快速网贷应用
com.pinjamlink.bridge.oh.pinjaman,cash_loan,high,pinjaman关键词属借贷
com.cairpinjamancepat.pijkalku,cash_loan,high,含pinjaman cepat现金贷
com.kredit.praktis.here.dana,cash_loan,high,kredit关键词属现金贷
com.pinjamanrendahbunga.tipspenting,cash_loan,high,低息贷款指南
com.id.uang.kuy.amanah,cash_loan,medium,uang关键词属借贷
com.hasimelehe.pinjoltanpaktptipsok,cash_loan,high,网贷申请指南
com.smartswitch.easyMover.copymydata.phoneclone.android.filetransfer,clone_app,high,手机数据克隆
com.hicloud.android.clone,clone_app,high,华为应用双开
com.phoneclone.sendanywhere.mobiletransfer.easymover.smartswitch,clone_app,high,手机克隆换机工具
com.bukupay,ewallet,high,电子支付钱包
id.ottopay.ottopay,ewallet,high,OttoPay电子钱包
com.ackinacki.wallet,ewallet,medium,加密钱包应用
com.smartserver.celebespayment,ewallet,medium,电子支付钱包应用
com.finnet.finpaymoney,ewallet,high,电子支付钱包
com.zkpass.transgate,ewallet,medium,数字身份工具
com.danaaktivasi.appinfoguide,ewallet,medium,DANA激活指南
com.danapayz,ewallet,high,电子支付钱包
com.anekapay.kiosaneka,ewallet,medium,支付代理应用
com.gurufin.wallet,ewallet,medium,数字钱包应用
com.venom.wallet,ewallet,high,加密货币钱包
com.bsg.tiops.nobodyjr.bsgqris,ewallet,medium,BSG二维码支付
com.secretkeylabs.xverse,ewallet,high,加密货币钱包
com.pede.emoney,ewallet,high,电子钱包应用
id.paymobileku.app,ewallet,medium,移动支付钱包应用
com.wallet.dana.amanah.go,ewallet,medium,dana钱包支付
com.rpay.yourpay.app,ewallet,medium,支付钱包类应用
org.mytonwallet.app,ewallet,high,加密货币钱包
com.aptoslabs.petra.wallet,ewallet,high,加密货币钱包
com.hit_pay.hitpay,ewallet,medium,支付网关应用
com.nominalcoin.app,ewallet,medium,加密货币钱包
com.dompetaman,ewallet,high,印尼电子钱包
com.dwidasa.emoney,ewallet,medium,电子钱包充值应用
com.chainapsis.keplr,ewallet,high,加密货币钱包
com.sam.sewasam,fintech_lending,medium,租赁金融服务
com.iqoption.trading,fintech_lending,high,金融交易平台
com.tentendigital.dashboard,fintech_lending,medium,印尼金融科技平台Tenda Digital
com.gradana.lender,fintech_lending,high,金融科技放款端
app.tea.fi,fintech_lending,medium,DeFi金融理财
com.crediseal.credit.improve,fintech_lending,medium,信用管理工具
com.indonesia.danacita,fintech_lending,high,Danacita金融科技借贷
com.indonesia.antdis.danacita,fintech_lending,high,Danacita金融科技借贷
com.gradana.agent,fintech_lending,high,金融科技代理
com.octafx.copytrade,fintech_lending,medium,外汇跟单交易平台
com.indodana.partner,fintech_lending,high,Indodana合作方
id.co.aro.superapp_mobile,fintech_lending,medium,印尼借贷应用
com.wom.kawan_agent_prod,fintech_lending,high,汽车金融代理
net.homecredit.much,fintech_lending,high,Home Credit信贷平台
com.trade.trade211,fintech_lending,medium,金融交易平台
com.rynatsa.xtrendspeed,fintech_lending,medium,金融交易平台
xyz.hermez.ipo,fintech_lending,medium,DeFi金融应用
com.newmoney.ai,fintech_lending,medium,AI金融工具
app.pefi,fintech_lending,high,印尼P2P借贷
com.btpns.individualfinancing,fintech_lending,high,BTPN个人信贷
com.dana.kredit.navigator,fintech_lending,high,DANA信贷导航
id.capitalnet.finance,fintech_lending,high,网络金融借贷
id.co.homecredit.tippers,fintech_lending,high,Home Credit信贷
id.motioncredit.app,fintech_lending,high,金融科技信贷平台
com.alami_funder,fintech_lending,high,金融科技借贷
com.wlf.gofood,food_delivery,medium,餐饮外卖相关应用
app.getplato.eat2earn,food_delivery,medium,餐饮外卖应用
com.cranium.sushiteiapps,food_delivery,medium,寿司亭餐饮点餐
com.gharelo.deliveryboy,food_delivery,high,外卖配送员应用
com.haidilao.intl,food_delivery,high,海底捞餐饮
com.hb.hungryhub,food_delivery,high,餐饮外卖平台
com.id8svip2.ntla38,gambling,medium,含ntla/vip特征，疑似赌博
com.id6sr777.ntla1082,gambling,high,777/ntla典型赌博包名
com.singaslots.app,gambling,high,老虎机赌博应用
com.nguserapp.playbook88,gambling,medium,playbook88疑似体育博彩
com.id7juarago.ntla51,gambling,high,777/ntla典型赌博包名
com.slotgacor.app001.Rp888,gambling,high,老虎机赌博应用
com.dec777lucky1.app,gambling,high,777关键词属博彩
com.id7nusaslots.ntnusaslotsct2,gambling,high,slots老虎机
com.happygame.wonda888,gambling,medium,疑似赌博棋牌应用
com.id5l777.ntl777ct,gambling,high,含777/ntl赌博特征
com.id7qt777.ntla1009,gambling,high,777/ntla网赌
com.semar.gambling,gambling,high,明确赌博应用
com.ptfarm.pokerrrr,gambling,high,扑克棋牌游戏
