app,good_count,bad_count,total_count,good_rate_pct,bad_rate_pct,risk_ratio
com.whatsapp,588,1583,2171,1.7432,1.8854,1.08
com.flex.rupiah.trusta.flexrupiah,580,1564,2144,1.7194,1.8628,1.08
com.ss.android.ugc.trill,481,1201,1682,1.4259,1.4305,1.0
com.facebook.katana,446,1100,1546,1.3222,1.3102,0.99
id.dana,423,1112,1535,1.254,1.3245,1.06
com.shopee.id,434,1092,1526,1.2866,1.3006,1.01
com.google.android.apps.docs,384,994,1378,1.1384,1.1839,1.04
com.instagram.android,386,976,1362,1.1443,1.1625,1.02
com.telkomsel.telkomselcm,320,858,1178,0.9487,1.0219,1.08
com.facebook.orca,304,735,1039,0.9012,0.8754,0.97
com.google.android.videos,282,725,1007,0.836,0.8635,1.03
com.lemon.lvoverseas,285,695,980,0.8449,0.8278,0.98
com.gojek.gopay,256,705,961,0.7589,0.8397,1.11
id.co.bri.brimo,260,624,884,0.7708,0.7432,0.96
com.spotify.music,229,586,815,0.6789,0.698,1.03
id.co.bankbkemobile.digitalbank,208,596,804,0.6166,0.7099,1.15
com.loan.cash.credit.easy.kilat.cepat.pinjam.uang.dana.rupiah,238,532,770,0.7056,0.6336,0.9
com.shopeepay.id,195,537,732,0.5781,0.6396,1.11
io.silvrr.installment,219,510,729,0.6492,0.6074,0.94
app.bpjs.mobile,197,517,714,0.584,0.6158,1.05
com.gojek.app,205,487,692,0.6077,0.58,0.95
com.google.android.apps.youtube.music,205,466,671,0.6077,0.555,0.91
org.telegram.messenger,179,486,665,0.5307,0.5789,1.09
com.whatsapp.w4b,184,475,659,0.5455,0.5658,1.04
com.grabtaxi.passenger,184,468,652,0.5455,0.5574,1.02
id.bmri.livin,190,457,647,0.5633,0.5443,0.97
com.bca,188,430,618,0.5573,0.5122,0.92
cn.wps.moffice_eng,187,428,615,0.5544,0.5098,0.92
com.linkedin.android,176,431,607,0.5218,0.5133,0.98
com.google.android.apps.photos,153,425,578,0.4536,0.5062,1.12
com.sahabatmikro,171,396,567,0.5069,0.4717,0.93
com.fintopia.idnEasycash.google,169,381,550,0.501,0.4538,0.91
com.lazada.android,165,370,535,0.4891,0.4407,0.9
com.google.android.apps.subscriptions.red,156,366,522,0.4625,0.4359,0.94
com.facebook.lite,117,398,515,0.3469,0.474,1.37
com.ktakilat.loan,143,371,514,0.4239,0.4419,1.04
ovo.id,142,370,512,0.421,0.4407,1.05
com.google.android.contactkeys,95,409,504,0.2816,0.4871,1.73
com.bpjstku,125,378,503,0.3706,0.4502,1.21
com.asf.singa,151,343,494,0.4476,0.4085,0.91
com.google.android.safetycore,92,401,493,0.2727,0.4776,1.75
com.tokopedia.tkpd,152,331,483,0.4506,0.3942,0.87
com.netflix.mediaclient,151,328,479,0.4476,0.3907,0.87
com.worldance.drama,134,323,457,0.3972,0.3847,0.97
com.coloros.onekeylockscreen,127,330,457,0.3765,0.393,1.04
com.sec.android.app.popupcalculator,123,322,445,0.3646,0.3835,1.05
com.mobile.legends,120,319,439,0.3557,0.3799,1.07
com.stanfordtek.pinjamduit,136,295,431,0.4032,0.3514,0.87
com.kkii,110,310,420,0.3261,0.3692,1.13
com.google.android.apps.tachyon,111,293,404,0.3291,0.349,1.06
id.bni.wondr,122,281,403,0.3617,0.3347,0.93
com.id.kredi360,128,275,403,0.3795,0.3275,0.86
com.finaccel.android,114,284,398,0.338,0.3383,1.0
com.yinshan.program.banda,105,292,397,0.3113,0.3478,1.12
com.intsig.camscanner,110,282,392,0.3261,0.3359,1.03
com.google.android.apps.chromecast.app,112,266,378,0.332,0.3168,0.95
com.indosk.sensid,114,264,378,0.338,0.3144,0.93
com.bca.mybca.omni.android,114,263,377,0.338,0.3132,0.93
app.source.getcontact,118,255,373,0.3498,0.3037,0.87
com.sec.android.app.voicenote,103,265,368,0.3053,0.3156,1.03
com.kwai.bulldog,94,272,366,0.2787,0.324,1.16
com.block.juggle,113,252,365,0.335,0.3001,0.9
us.zoom.videomeetings,111,252,363,0.3291,0.3001,0.91
com.taxsee.taxsee,108,254,362,0.3202,0.3025,0.94
com.samsung.android.app.notes,94,260,354,0.2787,0.3097,1.11
com.sec.android.app.sbrowser,91,259,350,0.2698,0.3085,1.14
com.finplus.android,123,226,349,0.3646,0.2692,0.74
com.google.android.apps.adm,110,236,346,0.3261,0.2811,0.86
com.traveloka.android,116,230,346,0.3439,0.2739,0.8
com.iss.client.cairin,109,237,346,0.3231,0.2823,0.87
com.google.android.apps.magazines,93,247,340,0.2757,0.2942,1.07
com.mintq.gocash,112,224,336,0.332,0.2668,0.8
com.rsupport.rs.activity.rsupport.aas2,86,245,331,0.255,0.2918,1.14
com.instagram.barcelona,104,227,331,0.3083,0.2704,0.88
com.uatas.android,114,215,329,0.338,0.2561,0.76
com.adakami.dana.kredit.pinjaman,97,232,329,0.2876,0.2763,0.96
com.agoda.mobile.consumer,95,227,322,0.2816,0.2704,0.96
id.co.bankfama.android,88,231,319,0.2609,0.2751,1.05
com.google.android.apps.podcasts,90,227,317,0.2668,0.2704,1.01
com.kreditpintar,90,224,314,0.2668,0.2668,1.0
com.samsung.android.voc,85,226,311,0.252,0.2692,1.07
com.coloros.backuprestore,93,213,306,0.2757,0.2537,0.92
com.srin.fakfak,85,219,304,0.252,0.2608,1.04
com.srin.garut,79,225,304,0.2342,0.268,1.14
com.twitter.android,80,216,296,0.2372,0.2573,1.08
com.samsung.android.oneconnect,83,211,294,0.2461,0.2513,1.02
com.coloros.note,95,199,294,0.2816,0.237,0.84
com.smartec.ft,88,205,293,0.2609,0.2442,0.94
com.qm.adi,104,189,293,0.3083,0.2251,0.73
premium.gotube.adblock.utube,86,205,291,0.255,0.2442,0.96
com.microsoft.office.outlook,85,206,291,0.252,0.2454,0.97
com.seekforpinjaman.pinjampasti,83,207,290,0.2461,0.2465,1.0
com.microsoft.office.officehubrow,84,206,290,0.249,0.2454,0.99
