app,good_count,bad_count,total_count
id.co.hypermart.hicard,5,0,5
com.plusphone.android,4,0,4
com.hotplay.petexplosion,3,0,3
com.programato.binarweb,3,0,3
com.skydot.docxreader.docx.docxviewer.document.doc.office.viewer.reader.word,3,0,3
com.hg.cupcakebaking.cakemaker.bakinggames.icecreamcake,3,0,3
com.netflix.NGP.FootballManagerMobile,3,0,3
com.mirror.hsn,3,0,3
id.co.bri.biz.app.token,3,0,3
com.snowcorp.soda.android,3,0,3
id.motioncredit.app,3,0,3
com.sdmc.iot.android,3,0,3
com.billiards.city.pool.nation.club,3,0,3
com.puzzle.fun.free.blockpuzzle,3,0,3
net.fileminer.android,3,0,3
com.mdiwebma.screenshot,3,0,3
com.jb.theme.gokeyboard,3,0,3
co.id.mtf.one,3,0,3
com.gsm.customer,3,0,3
com.finance.money.manageexpense,3,0,3
id.tirtabenteng.siganteng,3,0,3
id.co.acehardware.acerewards,3,0,3
com.armada.ksafleetdriverapp,3,0,3
com.weberdo.apps.serviceinfo,3,0,3
com.games.bus.arrival,3,0,3
com.finnet.finpaymoney,3,0,3
com.bach.ball.charge,3,0,3
com.electroniccity.ecm,3,0,3
com.dana.kredit.navigator,2,0,2
net.skyscanner.android.main,2,0,2
com.erm.dzikir.pagipetang,2,0,2
com.kotar.sagittario,2,0,2
com.downloadmusic.mp3downloader.musicplayer,2,0,2
com.miniclip.basketballstars,2,0,2
com.upwise.be.evolution,2,0,2
id.go.kemensos.siksma,2,0,2
id.go.kemsos.absensi,2,0,2
net.xnano.android.photoexifeditor,2,0,2
com.bank_hijra,2,0,2
com.gps.draw.flag.coloring.games,2,0,2
com.play.rosea,2,0,2
com.reportplus.analyzer,2,0,2
watersort.puzzle.water.sort.ball.sort.logic.brain.game.color.fill,2,0,2
com.mobile.truecall.tracker.locator.teccreations,2,0,2
com.animator,2,0,2
com.goersapp.goers,2,0,2
com.tools.control.center.simplecontrol,2,0,2
com.wa.status.app.downloader.photo.video.status,2,0,2
com.microsoft.launcher,2,0,2
com.gametion.snakesladders,2,0,2
com.pdfreader.lite.file,2,0,2
com.bekalislam.qurantadabbur,2,0,2
com.avian.loyalty,2,0,2
com.indonesiaentertainmentgroup.tayoholiday,2,0,2
com.yanuarhpai.resepherbahpai,2,0,2
text.or.words.games,2,0,2
id.capitalnet.finance,2,0,2
com.memeandsticker.personal,2,0,2
com.pede.emoney,2,0,2
id.co.homecredit.tippers,2,0,2
com.edishub.sitsdishubsurabaya,2,0,2
go.id.tapinkab.govem,2,0,2
com.appovo.bmicalculator,2,0,2
photography.sweet.selfie.camera,2,0,2
com.music.downloadfreeapp4you,2,0,2
com.firsttouchgames.dls3,2,0,2
com.cookie.match3.casual,2,0,2
com.lightricks.quickshot,2,0,2
com.machtwatch_mobile,2,0,2
com.chattranslation.conversation.voicetranslator.translatorappfree.audiotranslator,2,0,2
com.infraware.office.link,2,0,2
com.terjemahan.penerjemahinggrisindonesia,2,0,2
id.doran.jeteconnect,2,0,2
com.google.android.apps.labs.language.tailwind,2,0,2
com.contapps.android,2,0,2
com.ysd.luckywheelluckydraw,2,0,2
com.cextor.pro,2,0,2
com.kumon.mykumon,2,0,2
com.cove.mobile,2,0,2
com.maps.locator.gps.gpstracker.phone,2,0,2
com.reel.short.drama.crazy.popcorn,2,0,2
com.app.cerb.mcrdp,2,0,2
com.classdojo.android,2,0,2
com.cylan.jiafeigou,2,0,2
com.haidilao.intl,2,0,2
com.powerschool.portal,2,0,2
com.tvb.ott.overseas.sg,2,0,2
com.xs2theworld.cxmobile,2,0,2
id.qluster.soc,2,0,2
id.go.jogjakota.jogjasmartservice,2,0,2
com.sumutprov.ekinerja,2,0,2
com.boostedproductivity.app,2,0,2
com.time_management_studio.my_daily_planner,2,0,2
com.app.cerb.mcmeg,2,0,2
com.hg.bfbb,2,0,2
com.playdigious.littlenightmare,2,0,2
com.superchinese,2,0,2
com.vk.vkvideo,2,0,2
my.trevo.trevoapp,2,0,2
org.chromium.webapk.aef1990548974682d_v2,2,0,2
pin.pinterest.video.downloader.pinterest.downloader,2,0,2
com.otoreport.tokotax,2,0,2
pdf.reader.editor.office,2,0,2
com.compassfree.digitalcompass.forandroid.app,2,0,2
org.plus18.android,2,0,2
com.app.ankmobile,2,0,2
org.chromium.webapk.a8279ed50522b4f3b_v2,2,0,2
com.btpns.individualfinancing,2,0,2
com.seriepulse.es,2,0,2
clean.master.antivirus.battery.ora,2,0,2
com.orangeapps.candyvalley,2,0,2
xyz.parallaxnetwork.app,2,0,2
com.intsig.camexam,2,0,2
com.reliance.reliid,2,0,2
com.bukupay,2,0,2
com.mocoo.hang.rtprinter,2,0,2
com.otoreport.appsaveplus,2,0,2
com.pasukanlangit.cashplus,2,0,2
com.yadavapp.digitalclocklivewallpaper,2,0,2
business.card.game,2,0,2
