app,good_count,bad_count,total_count,good_rate_pct,bad_rate_pct,risk_ratio
com.olenwuckert.judehyatt.martyschaden,0,3,3,0.0,0.0036,999.99
com.kci.access,0,6,6,0.0,0.0071,999.99
idm.internet.download.manager,0,5,5,0.0,0.006,999.99
mam.reader.ipusnas,0,3,3,0.0,0.0036,999.99
com.xiaomi.mi_connect_service,0,13,13,0.0,0.0155,999.99
com.lpdpp.sikasep,0,4,4,0.0,0.0048,999.99
com.lemurbrowser.exts,0,3,3,0.0,0.0036,999.99
com.defianttech.diskdigger,0,5,5,0.0,0.006,999.99
com.yondroid.kalenderjawa,0,3,3,0.0,0.0036,999.99
com.cooking.world.chef.craze.restaurant.fever.free,0,3,3,0.0,0.0036,999.99
com.galasoft2013.shipinfo,0,4,4,0.0,0.0048,999.99
id.bions.bnis.android,0,3,3,0.0,0.0036,999.99
com.qidafcl.sl054,0,8,8,0.0,0.0095,999.99
com.ilyabogdanovich.geotracker,0,3,3,0.0,0.0036,999.99
com.samsung.android.spdclient,0,4,4,0.0,0.0048,999.99
com.best.uninstall.apps.uninstaller,0,6,6,0.0,0.0071,999.99
com.higame.par.bubble.tea,0,5,5,0.0,0.006,999.99
com.puzzlegame.match.jewels.adventure,0,4,4,0.0,0.0048,999.99
com.dmn.kvisionvoucher,0,4,4,0.0,0.0048,999.99
com.vectorunit.purple.googleplay,0,4,4,0.0,0.0048,999.99
id.co.hokben.revamp,0,3,3,0.0,0.0036,999.99
zombie.survival.craft.z,0,3,3,0.0,0.0036,999.99
com.hundred.qibla.finder,0,6,6,0.0,0.0071,999.99
com.dreame.reader,0,4,4,0.0,0.0048,999.99
com.BallGames.Woodturning,0,3,3,0.0,0.0036,999.99
ir.ilmili.telegraph,0,3,3,0.0,0.0036,999.99
com.drama.happy.look,0,5,5,0.0,0.006,999.99
co.populix,0,5,5,0.0,0.006,999.99
net.gigne.tafsirmimpi,0,3,3,0.0,0.0036,999.99
com.hopefactory2021.fakegpslocation,0,3,3,0.0,0.0036,999.99
stickerwhatsapp.com.stickers,0,6,6,0.0,0.0071,999.99
com.iquotes.app.anzhuo,0,5,5,0.0,0.006,999.99
com.transfer.app.help,0,4,4,0.0,0.0048,999.99
com.grill.sorting.food.match.puzzle,0,3,3,0.0,0.0036,999.99
com.Hadiz.Pillowchase,0,9,9,0.0,0.0107,999.99
com.shortbox.tv,0,4,4,0.0,0.0048,999.99
com.id5dan777.ntdan777cm2,0,4,4,0.0,0.0048,999.99
com.vipcsea.nanodrama,0,4,4,0.0,0.0048,999.99
com.google.android.apps.kids.familylinkhelper,0,4,4,0.0,0.0048,999.99
me.zepeto.main,0,6,6,0.0,0.0071,999.99
com.belva.browser,0,3,3,0.0,0.0036,999.99
com.touchtype.swiftkey,0,7,7,0.0,0.0083,999.99
com.mobso.photoreducer,0,4,4,0.0,0.0048,999.99
com.workday.workdroidapp,0,3,3,0.0,0.0036,999.99
com.pop.animals.block,0,3,3,0.0,0.0036,999.99
com.apkpure.aegon,0,3,3,0.0,0.0036,999.99
ru.startandroid.smsactivate,0,8,8,0.0,0.0095,999.99
xyz.aethersx2.android,0,6,6,0.0,0.0071,999.99
com.shutterstock.consumer,0,3,3,0.0,0.0036,999.99
com.bibas.realdarbuka,0,3,3,0.0,0.0036,999.99
com.google.android.gm,0,3,3,0.0,0.0036,999.99
com.seagames.dominoqq,0,6,6,0.0,0.0071,999.99
com.JindoBlu.Antistress,0,6,6,0.0,0.0071,999.99
com.pupuk_indonesia.lapordpcs,0,3,3,0.0,0.0036,999.99
com.campmobile.snow,0,5,5,0.0,0.006,999.99
com.aricode.application_indopsiko_hr,0,4,4,0.0,0.0048,999.99
com.novel.novelah,0,3,3,0.0,0.0036,999.99
com.dominoQQ.desktop.id,0,3,3,0.0,0.0036,999.99
com.toki.android,0,3,3,0.0,0.0036,999.99
com.hg.paperdeliveryboy,0,3,3,0.0,0.0036,999.99
com.higgs.domino,0,9,9,0.0,0.0107,999.99
id.kirimpulsa,0,3,3,0.0,0.0036,999.99
com.vibeflow.music,0,3,3,0.0,0.0036,999.99
com.badak178,0,3,3,0.0,0.0036,999.99
app.bpjs.mobilefaskes,0,4,4,0.0,0.0048,999.99
com.valbury.app,0,3,3,0.0,0.0036,999.99
com.pdfreader.pdfviewer.fastpdfreader.pdf,0,7,7,0.0,0.0083,999.99
com.fxbl.ssse.vivo,0,3,3,0.0,0.0036,999.99
zeal.app.manage,0,9,9,0.0,0.0107,999.99
com.bunbunstudio.magicblocktiles,0,6,6,0.0,0.0071,999.99
com.befaster.bfbrowser,0,4,4,0.0,0.0048,999.99
com.aman.milov,0,6,6,0.0,0.0071,999.99
com.cassette.aquapark,0,3,3,0.0,0.0036,999.99
com.sdpgames.sculptpeople,0,8,8,0.0,0.0095,999.99
com.topgamesinc.evony,0,3,3,0.0,0.0036,999.99
com.ene.games.idn,0,4,4,0.0,0.0048,999.99
io.safepal.wallet,0,3,3,0.0,0.0036,999.99
com.anhlt.identranslator,0,10,10,0.0,0.0119,999.99
com.community.short.tv,0,3,3,0.0,0.0036,999.99
com.photo.android.camera,0,3,3,0.0,0.0036,999.99
com.documentreader.free.viewer.all,0,3,3,0.0,0.0036,999.99
video.downloader.videodownloader,0,7,7,0.0,0.0083,999.99
com.richeese.id,0,5,5,0.0,0.006,999.99
com.hso.motorku,0,8,8,0.0,0.0095,999.99
com.pdfscanner.documentscan.camerascanner,0,3,3,0.0,0.0036,999.99
com.jagocoffee.app,0,3,3,0.0,0.0036,999.99
com.microsoft.windowsintune.companyportal,0,4,4,0.0,0.0048,999.99
com.ecffri.arrows,0,4,4,0.0,0.0048,999.99
app.assistant.quran,0,3,3,0.0,0.0036,999.99
it.censa.scoreboardsimple,0,4,4,0.0,0.0048,999.99
com.pointsculture.fundrama,0,3,3,0.0,0.0036,999.99
com.hizima.zimaemnew,0,3,3,0.0,0.0036,999.99
in.playsimple.wordsearch,0,10,10,0.0,0.0119,999.99
com.clearblast.android,0,6,6,0.0,0.0071,999.99
com.lianhezhuli.laxasfit,0,3,3,0.0,0.0036,999.99
com.rongrit.mtrans,0,3,3,0.0,0.0036,999.99
com.cosmicray.moneymate,0,3,3,0.0,0.0036,999.99
com.bangsawan.powerbank,0,4,4,0.0,0.0048,999.99
com.whatscan.web.scanner.dual.app.whatsweb,0,5,5,0.0,0.006,999.99
com.brain.logic.joygame,0,4,4,0.0,0.0048,999.99
